feature,categories_after_pooling,pooled_rare_levels,target_independence_chi2,target_independence_p_value,cramers_v,minimum_expected_count,expected_count_at_least_five_share,chi_square_assumptions_met,uniform_gof_chi2,uniform_gof_p_value,uniform_null_rejected_0_05,target_independence_fdr_p_value,target_associated_fdr_0_05
change,2,0,19.60901727556481,9.50196848127991e-06,0.0175711432791449,3097.735231137423,1.0,True,1261.7820884242349,2.2835219307071732e-276,True,2.3227034065350892e-05,True
admission_type_id,7,2,13.734933770571091,0.0327413969968852,0.014705689446389017,1.5897468194986775,0.9285714285714286,True,79351.55107696184,0.0,True,0.06002589449428953,False
race,6,0,12.529109061029603,0.028214694565797976,0.014045338175086356,35.76930343872024,1.0,True,151439.9914346895,0.0,True,0.05466452193069188,False
glipizide,4,0,12.288975741177818,0.006456048997805596,0.013910090289837194,41.219863962715706,1.0,True,132728.6974430029,0.0,True,0.01420330779517231,True
max_glu_serum,4,0,9.162091080098774,0.027211647786706927,0.012010730103259547,104.46907670991308,1.0,True,155366.11852878198,0.0,True,0.05466452193069188,False
repaglinide,4,1,9.054527000700606,0.028574636463770755,0.011940018222515248,3.0659402947474494,0.875,True,184333.34059705253,0.0,True,0.05466452193069188,False
rosiglitazone,4,0,7.621104792417476,0.05452705577363964,0.010954210247106999,7.721627408993576,1.0,True,156750.48784481673,0.0,True,0.09596761816160576,False
pioglitazone,4,0,5.591159432784508,0.13328680803065224,0.009382596584479935,8.175840785993199,1.0,True,159239.95301675276,0.0,True,0.21720813160550737,False
acarbose,3,2,4.367039686511756,0.11264434160284291,0.008292121842277822,1.2490867867489608,0.8333333333333334,True,126006.56496410124,0.0,True,0.19062888578942647,False
glimepiride,4,0,3.1191698828053616,0.3736139704689977,0.007007960091333779,13.967061342738381,1.0,True,167771.0886761557,0.0,True,0.558255856546527,False
chlorpropamide,3,2,2.9233960643108743,0.2318422646831443,0.006784470126394466,0.7948734097493387,0.8333333333333334,False,126574.48642776166,0.0,True,0.36432355878779815,False
glyburide,4,0,2.0810630211546974,0.5557533331901623,0.005724198975984033,47.01108451946089,1.0,True,136884.1511525381,0.0,True,0.6792540738990872,False
nateglinide,3,2,1.7763428096647742,0.41140736286325563,0.005288536386038085,1.476193475248772,0.8333333333333334,True,124537.93119410501,0.0,True,0.5839330311607499,False
glipizide-metformin,2,1,0.7686694193004742,0.3806289930999047,0.0034788996956870394,0.6813200654994331,0.75,False,63488.00226728807,0.0,True,0.558255856546527,False
miglitol,2,2,0.6016805076090311,0.43793755371441123,0.0030779040462529704,2.0439601964982996,0.75,False,63440.020405592644,0.0,True,0.6021641363573155,False
tolazamide,2,2,0.5201864218522342,0.47076217057443215,0.002861881264091958,4.428580425746316,0.75,False,63356.09579292102,0.0,True,0.6276828940992428,False
tolbutamide,2,1,0.4144052616043508,0.5197419947012285,0.002554375475996002,1.8168535079984884,0.75,False,63448.0161229374,0.0,True,0.6726072872604133,False
troglitazone,2,1,0.38431655467804493,0.5353020948824312,0.002459895464297394,0.34066003274971657,0.5,False,63500.00056682202,0.0,True,0.6729512049950563,False
glyburide-metformin,3,2,0.24769724902183754,0.8835135730598405,0.001974843555797269,1.5897468194986775,0.8333333333333334,True,125160.80199017507,0.0,True,1.0,False
gender,3,1,0.13178131582469613,0.9362332283908861,0.0014404527775386488,0.11355334424990553,0.6666666666666666,False,32370.91223705756,0.0,True,1.0,False
acetohexamide,2,1,0.12810148410536734,0.7204086637284296,0.0014201989464981933,0.11355334424990553,0.5,False,63508.00006298022,0.0,True,0.8567021947040784,False
examide,1,0,,,,,,False,,,False,1.0,False
citoglipton,1,0,,,,,,False,,,False,1.0,False
glimepiride-pioglitazone,1,0,,,,,,False,,,False,1.0,False
metformin-rosiglitazone,1,0,,,,,,False,,,False,1.0,False
metformin-pioglitazone,1,0,,,,,,False,,,False,1.0,False
